,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
283,Mittal Pratibimba,420,1    ,1,2021-03-15, Mandai
284,Surana Poonam Garden,850,2    ,2,2021-03-15, Bibwewadi
285,Ganga Kunj Society,566,1    ,1,2021-03-15, Vishrantwadi
288,Royal Ganga,620,1    ,1,2021-03-15, Alandi
290,Tuscan Estate Signature Meadows,2595,4    ,5,2021-03-15, Kharadi
291,Omkar Villa,850,2    ,1,2021-03-15, Old Sangvi
292,7 Plumeria Drive,1236,2    ,2,2021-03-15, Dange Chowk
293,Vilas Javdekar Yashwin Hinjewadi,1000,2    ,2,2021-03-15, Hinjewadi Phase 2
294,KK Meadows,670,1    ,2,2021-03-15, Charholi
295,Green Crest Society,859,2    ,2,2021-03-15, Phursungi
296,Equilife Homes,642,2    ,2,2021-03-15, Balewadi
297,Kolte Patil R7 At Life Republic,1600,3    ,3,2021-03-15, Hinjewadi
298,sheyash adya,1545,3    ,2,2021-03-15, Bhusari Colony
299,GK Silverland Residency Phase 3,850,2    ,2,2021-03-15, Ravet
300,Siddhivinayak Carona,6015,2    ,2,2021-03-15, Viman Nagar
301,Shyama Rainbow Vissta,1010,2    ,2,2021-03-15, Ravet
302,Mahalaxmi Complex,650,1    ,1,2021-03-15, Wakad
303,Rohan Abhilasha,430,1    ,1,2021-03-15, Wagholi
305,Shrinivas co-operative housing society,550,1    ,1,2021-03-15, Near Navale bridge
306,Sharda Shreenagari,750,1    ,1,2021-03-15, Dhanori
307,Majestique City,924,2    ,2,2021-03-15, Wagholi
310,Goel Ganga Village,750,1    ,1,2021-03-15, Udyog Nagar
311,SSD Sai Pearl,581,1    ,2,2021-03-15, Pimple Saudagar
312,Karia Konark Nagar,830,2    ,2,2021-03-15, Viman Nagar
313,Hari Om Heights,350,1    ,1,2021-03-15, Wadgaon Budruk
314,Laxmi Nagar,980,2    ,2,2021-03-15, Dhanori
315,Classic Pooja,545,1    ,1,2021-03-15, Santosh Nagar
317,sai niwas,1000,2    ,2,2021-03-15, Khese Park
319,Pratik Nagar,550,1    ,1,2021-03-15, Vishrantwadi
321,DMK Stella,1852,4    ,4,2021-03-15, Moshi
322,Swastik Heights,611,1    ,1,2021-03-15, Mahalunge
323,Megapolis Smart Homes 1,1008,2    ,2,2021-03-15, Phase-3 Hinjewadi
324,D R Destination Ostia,880,2    ,2,2021-03-15, Moshi
325,GMC Empire 1,460,1    ,1,2021-03-15, Chinchwad
